id,mapudungun,raiz,gramatica,castellano,ejemplo,imagen,source
01020127,achaw,achaw,sustantivo,gallina y gallo,,,Augusta 1903
01020127010909,achawall,achawall,sustantivo,"gallina, pollo",<dl><dt>Feytichi achawall niey mari epu pichike achawall.</dt> <dd>‘La gallina tiene doce pollitos.’ [CTM1:5]</dd></dl>,,FFD 2022
0103,ad,ad,sustantivo,"exterior de las cosas, forma, lado, color, semblante, fachada, costumbre, maña",,,Augusta 1903
01030326162513,addüngun,addüngun,sustantivo,"manera, costumbre de hablar",,,Augusta 1903
0103032616253513,addüngun,addüngu–n,verbo,"hablar correctamente, lógicamente",,,Augusta 1903
01030413222509352613,adentulün,adentul–ün,verbo,retratar,,,Augusta 1903
01030413222513,adentun,adentun,sustantivo,imagen,,,Augusta 1903
0103041322253513,adentun,adentu–n,verbo,"hallar bueno, correcto un asunto",,,Augusta 1903
0103041322253513,adentun,adentu–n,verbo,retratar,,,Augusta 1903
0103043513,aden,ade–n,verbo,"arreglarse, estar en arreglo",,,Augusta 1903
010308012726132916043513,adkawün ngen,adkawün nge–n,verbo,ser pícaro,,,Augusta 1903
0103080127352613,adkawün,adkaw–ün,verbo,hacer mal valíendose de astucia,,,Augusta 1903
010308013513,adkan,adka–n,verbo,"hacer frente, hacer maldad con astucia a alguien.",,,Augusta 1903
010308071322253513,adkintun,adkintu–n,verbo,"mirar, divisar, ver (algo de lejos), mirar a lo lejos",,,FFD 2022
0103082613253513,adkünun,adkünu–n,verbo,dejar arreglado,,,Augusta 1903
010312013513,adman,adma–n,verbo,hallar casualmente,,,Augusta 1903
0103222528043513,adtuyen,adtuye–n,verbo,tener algo por costumbre,,,Augusta 1903
01032612352613,adümün,adüm–ün,verbo,"entender, saber hacer (trabajos), saber tratar (con personas)",,,Augusta 1903
0103270112352613,adwamün,adwam–ün,verbo,verse bien (vestimenta),,,FFD 2022
010328043513,adyen,adye–n,verbo,tener algo por costumbre,,,Augusta 1903
0103352613,adün,ad–ün,verbo,"arreglarse, estar en arreglo, ser bonito",,,Augusta 1903
01050105013513,afafan,afafa–n,verbo,"hacer afafan, arengar",,,FFD 2022
01050409352613,afelün,afel–ün,verbo,"aburrirse de alguna cosa, persona, asunto",,,Augusta 1903
0105041322253513,afentun,afentu–n,verbo,"llevar al fin, concluir",,,Augusta 1903
010508010307,afkadi,afkadi,sustantivo,"acompañante, compañero o compañera",,,Augusta 1903
010508010307,afkadi,afkadi,adverbio,al lado (de personas),,,Augusta 1903
0105120122253513,afmatun,afmatu–n,verbo,"admirar, admirarse",,,Augusta 1903
01051825132912011825,afpun mapu,afpun mapu,sustantivo,"frontera, límites",,,Augusta 1903
01052612352613,afümün,afüm–ün,verbo,"cocer, cocinar","<dl><dt>Afüm ilo achawall, afümkünu kuram.</dt><dd> ‘Pollo cocido, huevos cocidos.’ [CNKN:30]</dd></dl>",,Augusta 1903
0105263513,afün,afü–n,verbo,"cocinarse, cocerse bien, madurar (de frutas)",,,FFD 2022
0105352613,afün,af–ün,verbo,"concluirse, acabarse",,,Augusta 1903
01082509352613,akulün,akul–ün,verbo,"hacer llegar, traer",,,Augusta 1903
0108253513,akun,aku–n,verbo,llegar,"<dl><dt>Feymew akuy ti pu mangel, ñi palu ka ñi malle, epe afüchi iyael mew. </dt><dd>Entonces, cuando llegaron los invitados, mi tía y mi tío, la carne estaba casi lista. [PDG:3]</dd><dt>Akulay ñi fokipelu, lluatuley engün chi pu koṉa.</dt><dd>Como no llegaron los que fueron por los boquis, todos los trabajadores quedaron esperando.[FTM2:14]</dd></dl>",,FFD 2022
010904,ale,ale,sustantivo,lumbre de la luna,,,Augusta 1903
