Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
A;AugustaMAP;a;"partíc. vocat. ¡Hola! Para espantar los caballos o perros se dice: ¡a kawellu!, ¡a trewa!, respectivamente; para arengar a los amigos: ¡a pu wen'!";;;;;;a;
A;AugustaMAP;achaw;s. n. de Imp. ? achawall.;;;;;;achaw;
A;AugustaMAP;achawall;s. Huapi. La gallina, el gallo.;;;;;;achawall;
A;AugustaMAP;achawüll;s. Pangui. ? achawall.;;;;;;achawüll;
A;AugustaMAP;achawüllkachu;"s. comp. Pangui. Bot. La piojilla, hierba cuyas semillas comen las gallinas. Poa annua L.; fam. Gramineae.";;;;;;achawüllkachu;
A;AugustaMAP;achefün, achefkülen;intr. Estar muy florido. | Abundar el pasto, las flores (no se aplica a las frutas).;;;;;;achefün, achefkülen;
A;AugustaMAP;achekura;s. comp. Ciertas piedras muy esquinadas.;;;;;;achekura;
A;AugustaMAP;achelpeñ;s. La flor de ceniza.;;;;;;achelpeñ;
A;AugustaMAP;achidkon, achirkon, achüdkon;intr. Tener acedía.;;;;;;achizkon, achirkon, achüzkon;
A;AugustaMAP;ad;s. El exterior (forma, color, aspecto, faz). Kelü ad ngey rosa 'la rosa es de color colorado'. Küme ad (ngechi) domo 'mujer de buena apariencia'. Ad ngen 'tener buen aspecto, ser bonito'. | La costumbre, el arreglo. Kiñe wesha ad niey ñi kawellu 'mi caballo tiene una (mala) maña'. Fill wesha ad ngen, filladngen 'tener toda (mala) maña'. Iñche femngechi ad ngelan 'yo no tengo tal costumbre'. V. adngen. Ad mapu 'costumbre de la tierra'. V. admapu. | El lado, la cara de las cosas. Paño ñi kiñe püle ad 'un lado del paño'. Ka ad mew 'en el revés'. | Al lado, hacia. Fa mew piwüay ñi pantalon ad antü 'aquí secarán mis pantalones al sol'. Ad l'afken' (o l'afken' püle) 'al lado del mar'. Ad mapu 'al lado de la tierra'. V. adkülen, adkünun. | adj. Bonito, bien arreglado, armónico. Ad üy 'nombre bonito'. V. adngen, adkülen, adün.;;;;;;az;
