Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
InekeSmeets;Noun;achawall;"chicken; (probably) derived from Qu. atawallpa 'cock'.";;;;;;/?t?h?’w??/;achawall
InekeSmeets;Intransitive;achefküle-;to shine.;;;;;;/?t?hëfkülë/;achefküle-
InekeSmeets;Noun;achellpen;"floating ashes; also achellpeñ.";;;;;;/?t?hë?pën/;achellpen
InekeSmeets;Noun;achellpeñ;see achellpen.;;;;;;/?t?hë?pë?/;achellpeñ
InekeSmeets;Noun;achizkon;"gastric acid; also achirkon.";;;;;;/?t?h??kön/;achidkon
InekeSmeets;Noun;achirkon;see achidkon.;;;;;;/?t?h??kön/;achirkon
InekeSmeets;Noun;az;"1. form, exterior, appearance, face, colour, beauty, picture, image, copy; ad püle 'front, to the front'; ka ad 'other side, back side'; tañi wangku ñi ad 'the colour of the chair'; 2. direction, side, right place; ad lafken '(in) the direction of the sea'; wenu ad püle 'upwards'; 3. habit, custom, trick; ad mapu 'customs of the land'; wesha ad 'bad habit'; 4. relative; ñi adwen 'my relatives, my folk'; also as, ash.";;;;;;/??/;ad
InekeSmeets;Intransitive;az-;"to become beautiful; adüy 'she is beautiful, sympathetic, funny'; adküley 'she looks beautiful, she is being funny, it is in the right place'; also as, ash.";;;;;;/??/;ad-
InekeSmeets;Intransitive;azamu-;"to go in a certain direction;";;;;;;/???m?/;adamu-
InekeSmeets;Transitive;azel-;"to arrange, to settle, to point out; adelen rüpü 'show me the road';";;;;;;/??ël/;adel-
InekeSmeets;Adjective;azelfal;"manageable, easy to handle, useful;";;;;;;/??ëlf?l/;adelfal
InekeSmeets;Transitive;azentu-;"to copy, to make a picture/photo of, to bring out, to manage to do something; küme adentuy ñi dungu 'he speaks well';";;;;;;/??ënt?/;adentu-
InekeSmeets;Transitive;azentu- ti la;"to pay a last tribute of respect to the deceased;";;;;;;/??ënt? t? l?/;adentu- ti la
InekeSmeets;Transitive;azentunentu-;"to make an exact copy of;";;;;;;/??ënt?nënt?/;adentunentu-
InekeSmeets;Intransitive;azentuw-;"to get used to (-mew);";;;;;;/??ënt?w/;adentuw-
InekeSmeets;Transitive;azka-;"to outwit, to manoeuvre, to handle;";;;;;;/??k?/;adka-
InekeSmeets;Intransitive;azkawküle-;"to be fidgety/restless/annoying;";;;;;;/??k?wkülë/;adkawküle-
InekeSmeets;Transitive;azkintu-;"to look at, to watch, to observe;";;;;;;/??k?nt?/;adkintu-
InekeSmeets;Intransitive;azkiñ-;"to have a look;";;;;;;/??k??/;adkiñ-
InekeSmeets;Intransitive;azkiñküle-;"to be in sight;";;;;;;/??k??külë/;adkiñküle-
InekeSmeets;Intransitive;azkiñge-;"to be visible;";;;;;;/??k???ë/;adkiñnge-
InekeSmeets;Transitive;azkünu-;"to leave something in the right position/direction/situation;";;;;;;/??kün?/;adkünu-
InekeSmeets;Transitive;azmanie-;"to be in the right position with respect to, to have the disposal of;";;;;;;/??m?n?ë/;admanie-
InekeSmeets;Transitive;aznie-;"to hold in a certain position; adnien ñi pilun 'I have my ears raised';";;;;;;/??n?ë/;adnie-
InekeSmeets;Noun;azgel;"present for a deceased relative or close friend to be buried with the body of the deceased;";;;;;;/???ël/;adngel
InekeSmeets;Transitive;aztuku-;"to put in the right position, to put in the right direction;";;;;;;/??t?k?/;adtuku-
InekeSmeets;Transitive;azüm-;"to learn how to;";;;;;;/??üm/;adüm-
InekeSmeets;Transitive;azümel-;"to teach how to;";;;;;;/??ümël/;adümel-
InekeSmeets;Transitive;azümka-;"to prepare;";;;;;;/??ümk?/;adümka-
InekeSmeets;Intransitive;azüw-;"to gain an insight, to see the light, to come to an understanding; adüwyu 'wed came to an understanding'.";;;;;;/??üw/;adüw-
InekeSmeets;Transitive;azye-;"to have someone for a relative, to look like, to resemble, to carry in a certain direction, to direct in a certain direction, to follow the customs of;";;;;;;/??jë/;adye-
InekeSmeets;Noun;azgelkantu;"friend to whom one would give an adngel;";;;;;;/???ëlk?nt?/;adngelkantu
InekeSmeets;Intransitive;fill azge-;"to be cute/naughty;";;;;;;/f?? ???ë/;fill adnge-
InekeSmeets;Intransitive;küme azge-;"to have a pretty face, to be sympathetic;";;;;;;/kü’më ???ë/;küme adnge-
InekeSmeets;Noun;af;"end; af metawemew 'at the end of a row of jars';";;;;;;/?f/;af
InekeSmeets;Intransitive;af-;"to come to an end; afay kawan 'the fighting will stop'; afküley 'it is coming to an end';";;;;;;/?f/;af-
InekeSmeets;Transitive;afzuam-;"to get bored with;";;;;;;/?f???m/;afduam-
InekeSmeets;Intransitive;afzuamünge-;"to be boring;";;;;;;/?f???mün?ë/;afduamünnge-
InekeSmeets;Transitive;afzugu-;"to be done talking to;";;;;;;/?f????/;afdungu-
InekeSmeets;Transitive;afel-;"to stop, to cease, to lose interest in;";;;;;;/?fël/;afel-
InekeSmeets;Intransitive;afeluw-;"to get bored;";;;;;;/?fël?w/;afeluw-
InekeSmeets;Intransitive;afeluwünge-;"to be boring;";;;;;;/?fël?wün?ë/;afeluwünnge-
InekeSmeets;Noun;afinan;"the last, the youngest;";;;;;;/?f?n?n/;afinan
InekeSmeets;Noun;afkazi;"side, person by one's side, close friend, close to, next to; afkadi ruka 'close to the house'; afkadiley 'he is by my side';";;;;;;/?fk???/;afkadi
