Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
Abreviaturas;;e.f.;etc. Abreviatura de »epe fill ‘etcétera’.;;;;;;;2
Abreviaturas;;f.r.;p. ej. Abreviatura de »fey rüke ‘por ejemplo’.;;;;;;;2
Abreviaturas;;na;Apócope de »müna.;;;;;¡Na weza! ‘¡Que mal!’ Na küme ‘¡Que bien!’;;
Adjetivos;;azkin;visible.;;;;;Küme azkingey chi ruka. ‘Se ve bien la casa. La casa es bien visible.’;;4
Adjetivos;;amfill;diverso, diversa. ~gamfill;;;;;amfill poz ‘basura diversa’.;;9
Adjetivos;;atxeq;frío.;;;;;Küchage tami wün atxeq ko mu. ‘Lávate las manos con agua fría.’;;
Adjetivos;;agken;seco.;;;;;Agken fün ‘frutos secos’, re agken mapu ‘solo tierra seca’.;;2
Adjetivos;;are²;caliente.;;;;;Lüfle tami küwü are anümka yiwiñ mu, atxeq fotxa tukulelafimi. ‘Si te quemas la mano con aceite vegetal caliente, aplícate barro frío.’;;5
Adjetivos;;awemiyawfe;puntual.;;;;;;;11
Adjetivos;;awka;salvaje.;;;;;Awka kulliñ ‘animal salvaje’;;10
Adjetivos;;awpill;delgado.;;;;;;;6
Adjetivos;;alü rupa;ancho.;;;;;;;2
Adjetivos;;alü püra;alto;;;;;;;2
Adjetivos;;alün;mucho.;;;;;Alün amukawe müley. ‘Hay muchos autos.’ Müley alün gülliw. ‘Hay muchos piñones.’ Fey niey alün chillkatufe Wallmapu mew. ‘Tiene muchos alumnos en Wallmapu.’;;2
Adjetivos;;zumiñ²;oscuro, oscura. ;;;;;zumiñ ruka ‘casa oscura’. Zumiñ rukagey. ‘Es una casa oscura.’;;4
Adjetivos;;üküf;apretado.;;;;;Üküf tukuluwün ‘ropa ajustada, apretada.’;;6
Adjetivos;;ütxir;envidioso, envidiosa.;;;;;;;
Adjetivos;;müna²;mediano, mediana.;;;;;Müna ruka ‘casa mediana’;;4
Adjetivos;;motxin;gordo.;;;;;Motxin chegey. ‘Es persona gorda.’;;3
Adjetivos;;mukur;agridulce.;;;;;;;5
Adjetivos;;choz;amarillo.;;;;;Niey chozke tapül. ‘Tiene hojas amarillas.’;;2
Adjetivos;;chofü;flojo.;;;;;Chofüche ‘persona floja’.;;3
Adjetivos;;eñum;caliente, caloroso, calurosa. ;;;;;Eñumruka gey. ‘Es una casa calurosa’;;4
Adjetivos;;epefill;cualquier, cualquiera.;;?;;;epefill poz ‘cualquier basura’;;9
Adjetivos;;elagechi;lindo.;;;;;Elagechi chegey. Es persona bonita.;;3
Adjetivos;;falinochi;barato, barata.;;;;;Vicente pey müte falinochi oferta amuam Chillwe mapu mew. ‘Vicente encontró una oferta barata para ir a Chiloé.’;;10
Adjetivos;;fütxa;gran, grande.;;;;;Fütxake kura ruka ‘grandes edificios’, fütxake wigkul ‘grandes cerros’.;;1
Adjetivos;;fütxapiwke;insensible.;;;;;;;3
