uniqueid,title,slug,chillka,grammar,gram,def,exe,source,audio,wpcontrol,table,wpid
102,az,az,a,sustantivo,s,"forma, aspecto, características.","Eymi tami waria, ¿chem az am ta niey? ‘Tu ciudad qué aspecto tiene.’ [MPZL] <br> Tañi ñuke ka tañi pu lamgen ñi az... ‘el rostro de su madre y el de sus hermanos...’ [MR]",,"<audio id=""0102"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0102.mp3""></audio><div><a onclick=""document.getElementById('0102').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21032
1020027,az -,az -,a,verbo,vi,ser bonito.,Azi ‘es bonito’; rume azi. ‘es muy bonito’; müna azürkey ti wigkul ‘Veo que es muy bonito el cerro.’,,"<audio id=""01020027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/01020027.mp3""></audio><div><a onclick=""document.getElementById('01020027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">az<strong>ün</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">az<strong>imi</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>ülmi</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">az<strong>i</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">az<strong>iyu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">az<strong>imu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>ülmu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">az<strong>igu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">az<strong>iyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">az<strong>imün</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>ülmün</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">az<strong>igün</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">az<strong>pe egün</strong></td></tr></tbody></table",21033
10203040027,azüm -,azüm -,a,verbo,vt,entender.,Newe azümlafiñ ti püchike chillka. ‘No entendí mucho los cartelitos.’ [MPZL],,"<audio id=""010203040027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/010203040027.mp3""></audio><div><a onclick=""document.getElementById('010203040027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>ün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>imi</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>ülmi</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>i</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>iyu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>imu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>ülmu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>igu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>iyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>imün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>ülmün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>igün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüm<strong>pe egün</strong></td></tr></tbody></table",21034
1.02032E+18,azüwküle -,azüwküle -,a,verbo,vi,ser correspondiente.,"Zewmaentufige tüfachi gütxam, wirintukuafimi ti ramtun azüwkülelu. ‘Completa el siguiente diálogo, escribiendo las preguntas correspondientes.’ [MPZL]",,"<audio id=""01020324090325060027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/01020324090325060027.mp3""></audio><div><a onclick=""document.getElementById('01020324090325060027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">azüwküle<strong>pe egün</strong></td></tr></tbody></table",21035
1020508,azchi,azchi,a,adjetivo,adj,bonito.,"Ti rüpü amulelu kolekio mew, rumerkey kiñe rume azchi pichi mawiza mew. ‘El camino que iba a la escuela pasaba por un monte muy bonito.’ [NCH]",,,20220124,,22986
1020625,azel,azel,a,adjetivo,adj,elegante.,Iñche müte azel wentxugelan. ‘Yo no era elegante.’,,,20210121,,22882
10206250706,azelfe,azelfe,a,sustantivo,s,"ingeniero, ingeniera",,,"<audio id=""010206250706"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/010206250706.mp3""></audio><div><a onclick=""document.getElementById('010206250706').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21036
1.02063E+14,azelka -,azelka -,a,verbo,vt,diseñar.,,,"<audio id=""0102062509010027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0102062509010027.mp3""></audio><div><a onclick=""document.getElementById('0102062509010027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">azelka<strong>pe egün</strong></td></tr></tbody></table",21037
1.02063E+22,azelkarukafe,azelkarukafe,a,sustantivo,s,"arquitecto, arquitecta.",,,"<audio id=""010206250901192309010706"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/010206250901192309010706.mp3""></audio><div><a onclick=""document.getElementById('010206250901192309010706').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21038
10206261023,azentu,azentu,a,sustantivo,s,imágen. Var. ~azentun.,,,"<audio id=""010206261023"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/010206261023.mp3""></audio><div><a onclick=""document.getElementById('010206261023').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21039
